"REF_DATE","GEO","DGUID","Month of birth","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995","Canada, place of residence of mother","2016A000011124","Month of birth, September","Number of live births","Number","223","units","0","v21400554","1.10.1","32530","","","","0"
"1996","Canada, place of residence of mother","2016A000011124","Month of birth, September","Number of live births","Number","223","units","0","v21400554","1.10.1","30884","","","","0"
"1997","Canada, place of residence of mother","2016A000011124","Month of birth, September","Number of live births","Number","223","units","0","v21400554","1.10.1","29232","","","","0"
"1998","Canada, place of residence of mother","2016A000011124","Month of birth, September","Number of live births","Number","223","units","0","v21400554","1.10.1","29650","","","","0"
"1999","Canada, place of residence of mother","2016A000011124","Month of birth, September","Number of live births","Number","223","units","0","v21400554","1.10.1","29202","","","","0"
"2000","Canada, place of residence of mother","2016A000011124","Month of birth, September","Number of live births","Number","223","units","0","v21400554","1.10.1","26885","","","","0"
"2001","Canada, place of residence of mother","2016A000011124","Month of birth, September","Number of live births","Number","223","units","0","v21400554","1.10.1","28240","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, October","Number of live births","Number","223","units","0","v21400556","1.11.1","32992","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Month of birth, October","Number of live births","Number","223","units","0","v21400556","1.11.1","32120","","","","0"
"1993","Canada, place of residence of mother","2016A000011124","Month of birth, October","Number of live births","Number","223","units","0","v21400556","1.11.1","31289","","","","0"
"1994","Canada, place of residence of mother","2016A000011124","Month of birth, October","Number of live births","Number","223","units","0","v21400556","1.11.1","30883","","","","0"
"1995","Canada, place of residence of mother","2016A000011124","Month of birth, October","Number of live births","Number","223","units","0","v21400556","1.11.1","30684","","","","0"
"1996","Canada, place of residence of mother","2016A000011124","Month of birth, October","Number of live births","Number","223","units","0","v21400556","1.11.1","29866","","","","0"
"1997","Canada, place of residence of mother","2016A000011124","Month of birth, October","Number of live births","Number","223","units","0","v21400556","1.11.1","28284","","","","0"
"1998","Canada, place of residence of mother","2016A000011124","Month of birth, October","Number of live births","Number","223","units","0","v21400556","1.11.1","27893","","","","0"
"1999","Canada, place of residence of mother","2016A000011124","Month of birth, October","Number of live births","Number","223","units","0","v21400556","1.11.1","27209","","","","0"
"2000","Canada, place of residence of mother","2016A000011124","Month of birth, October","Number of live births","Number","223","units","0","v21400556","1.11.1","25846","","","","0"
"2001","Canada, place of residence of mother","2016A000011124","Month of birth, October","Number of live births","Number","223","units","0","v21400556","1.11.1","27636","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, November","Number of live births","Number","223","units","0","v21400558","1.12.1","30669","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Month of birth, November","Number of live births","Number","223","units","0","v21400558","1.12.1","30072","","","","0"
"1993","Canada, place of residence of mother","2016A000011124","Month of birth, November","Number of live births","Number","223","units","0","v21400558","1.12.1","29550","","","","0"
"1994","Canada, place of residence of mother","2016A000011124","Month of birth, November","Number of live births","Number","223","units","0","v21400558","1.12.1","29802","","","","0"
"1995","Canada, place of residence of mother","2016A000011124","Month of birth, November","Number of live births","Number","223","units","0","v21400558","1.12.1","28664","","","","0"
"1996","Canada, place of residence of mother","2016A000011124","Month of birth, November","Number of live births","Number","223","units","0","v21400558","1.12.1","27290","","","","0"
"1997","Canada, place of residence of mother","2016A000011124","Month of birth, November","Number of live births","Number","223","units","0","v21400558","1.12.1","26266","","","","0"
"1998","Canada, place of residence of mother","2016A000011124","Month of birth, November","Number of live births","Number","223","units","0","v21400558","1.12.1","25411","","","","0"
"1999","Canada, place of residence of mother","2016A000011124","Month of birth, November","Number of live births","Number","223","units","0","v21400558","1.12.1","25668","","","","0"
"2000","Canada, place of residence of mother","2016A000011124","Month of birth, November","Number of live births","Number","223","units","0","v21400558","1.12.1","24903","","","","0"
"2001","Canada, place of residence of mother","2016A000011124","Month of birth, November","Number of live births","Number","223","units","0","v21400558","1.12.1","25811","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, December","Number of live births","Number","223","units","0","v21400560","1.13.1","32011","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Month of birth, December","Number of live births","Number","223","units","0","v21400560","1.13.1","30993","","","","0"
"1993","Canada, place of residence of mother","2016A000011124","Month of birth, December","Number of live births","Number","223","units","0","v21400560","1.13.1","30536","","","","0"
"1994","Canada, place of residence of mother","2016A000011124","Month of birth, December","Number of live births","Number","223","units","0","v21400560","1.13.1","30265","","","","0"
"1995","Canada, place of residence of mother","2016A000011124","Month of birth, December","Number of live births","Number","223","units","0","v21400560","1.13.1","28240","","","","0"
"1996","Canada, place of residence of mother","2016A000011124","Month of birth, December","Number of live births","Number","223","units","0","v21400560","1.13.1","28154","","","","0"
"1997","Canada, place of residence of mother","2016A000011124","Month of birth, December","Number of live births","Number","223","units","0","v21400560","1.13.1","27185","","","","0"
"1998","Canada, place of residence of mother","2016A000011124","Month of birth, December","Number of live births","Number","223","units","0","v21400560","1.13.1","26345","","","","0"
"1999","Canada, place of residence of mother","2016A000011124","Month of birth, December","Number of live births","Number","223","units","0","v21400560","1.13.1","26835","","","","0"
"2000","Canada, place of residence of mother","2016A000011124","Month of birth, December","Number of live births","Number","223","units","0","v21400560","1.13.1","24532","","","","0"
"2001","Canada, place of residence of mother","2016A000011124","Month of birth, December","Number of live births","Number","223","units","0","v21400560","1.13.1","25521","","","","0"


